LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,Division,WINS,LOSSES,WinPCT,DivisionRank,HOME,ROAD,ThreePTSOrLess,TenPTSOrMore,LongWinStreak,LongLossStreak,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,22023,1610612738,Boston,Celtics,East,Atlantic,64,18,0.78,1,37-4,27-14,6-7,42-5,11,2,121.0,109.0,11.0,41-11,15-2,13-5,13-4,23-7,6-4,7-3,10-0,11-5,9-1,12-4,6-2,,,,,,3-0,11-4,12-2
0,22023,1610612760,Oklahoma City,Thunder,West,Northwest,57,25,0.695,1,33-8,24-17,6-3,32-10,6,3,120.0,113.0,7.0,21-9,6-4,6-4,9-1,36-16,12-4,11-7,13-5,11-6,8-3,11-4,5-3,,,,,,3-1,9-5,10-3
0,22023,1610612752,New York,Knicks,East,Atlantic,50,32,0.61,2,27-14,23-18,4-3,32-16,9,4,113.0,108.0,5.0,35-17,12-5,11-7,12-5,15-15,5-5,6-4,4-6,14-2,4-8,9-5,6-2,,,,,,2-2,9-5,6-8
0,22023,1610612743,Denver,Nuggets,West,Northwest,57,25,0.695,2,33-8,24-17,6-6,28-10,6,3,115.0,110.0,5.0,24-6,8-2,8-2,8-2,33-19,10-6,11-7,12-6,10-5,8-3,11-4,5-2,,,,,,4-0,9-6,10-5
0,22023,1610612750,Minnesota,Timberwolves,West,Northwest,56,26,0.683,3,30-11,26-15,7-6,32-10,7,2,113.0,107.0,6.0,19-11,6-4,6-4,7-3,37-15,12-4,10-7,15-4,10-7,8-3,9-6,5-3,,,,,,1-2,13-2,10-3
0,22023,1610612749,Milwaukee,Bucks,East,Central,49,33,0.598,1,31-11,18-22,4-6,25-16,7,4,119.0,116.0,3.0,34-18,12-6,10-7,12-5,15-15,4-6,5-5,6-4,8-8,7-5,8-6,2-6,,,,,,2-1,11-5,11-2
0,22023,1610612746,LA,Clippers,West,Pacific,51,31,0.622,1,25-16,26-15,6-4,28-17,9,6,116.0,112.0,3.0,21-9,6-4,6-4,9-1,30-22,10-9,9-7,11-6,12-3,6-5,10-7,4-4,,,,,,3-1,5-9,11-2
0,22023,1610612739,Cleveland,Cavaliers,East,Central,48,34,0.585,2,26-15,22-19,9-5,24-16,9,3,113.0,110.0,2.0,31-21,9-8,11-5,11-8,17-13,5-5,4-6,8-2,11-2,9-4,7-10,3-4,,,,,,1-3,9-6,8-5
0,22023,1610612753,Orlando,Magic,East,Southeast,47,35,0.573,1,29-12,18-23,6-9,27-20,9,4,110.0,108.0,2.0,32-20,9-8,14-5,9-7,15-15,7-3,2-8,6-4,6-10,9-3,9-5,4-4,,,,,,2-2,11-3,6-8
0,22023,1610612742,Dallas,Mavericks,West,Southwest,50,32,0.61,1,25-16,25-16,5-2,31-21,7,3,118.0,116.0,2.0,19-11,6-4,3-7,10-0,31-21,10-9,10-7,11-5,7-8,8-3,11-4,5-3,,,,,,3-0,8-6,8-8
0,22023,1610612756,Phoenix,Suns,West,Pacific,49,33,0.598,2,25-16,24-17,8-6,29-14,7,3,116.0,113.0,3.0,20-10,4-6,8-2,8-2,29-23,12-5,9-9,8-9,11-5,7-4,8-7,6-2,,,,,,2-2,9-5,6-8
0,22023,1610612754,Indiana,Pacers,East,Central,47,35,0.573,3,26-15,21-20,6-5,30-16,6,4,123.0,120.0,3.0,32-20,10-8,11-6,11-6,15-15,3-7,5-5,7-3,10-7,7-5,8-7,5-2,,,,,,2-1,7-7,8-6
0,22023,1610612755,Philadelphia,76ers,East,Atlantic,47,35,0.573,3,25-16,22-19,3-4,27-18,8,4,115.0,112.0,3.0,31-21,8-8,8-9,15-4,16-14,6-4,4-6,6-4,7-7,4-8,7-10,7-0,,,,,,2-1,10-5,10-4
0,22023,1610612740,New Orleans,Pelicans,West,Southwest,49,33,0.598,2,21-19,28-14,1-7,32-18,4,5,115.0,111.0,4.0,19-11,8-2,5-5,6-4,30-22,9-8,12-7,9-7,8-7,8-4,10-4,4-4,,,,,,2-1,8-8,9-5
0,22023,1610612748,Miami,Heat,East,Southeast,46,36,0.561,2,22-19,24-17,8-4,21-15,7,7,110.0,108.0,2.0,32-20,8-10,11-7,13-3,14-16,3-7,5-5,6-4,6-10,8-3,8-7,5-3,,,,,,1-3,10-5,8-5
0,22023,1610612747,Los Angeles,Lakers,West,Pacific,47,35,0.573,3,28-14,19-21,11-4,20-25,5,4,118.0,117.0,1.0,20-10,6-4,8-2,6-4,27-25,9-8,7-10,11-7,7-8,9-3,9-5,5-2,,,,,,2-2,9-7,6-8
0,22023,1610612758,Sacramento,Kings,West,Pacific,46,36,0.561,4,24-17,22-19,6-5,26-19,6,4,117.0,115.0,2.0,16-14,5-5,5-5,6-4,30-22,12-5,10-7,8-10,8-7,6-6,10-6,3-5,,,,,,2-1,8-6,9-5
0,22023,1610612741,Chicago,Bulls,East,Central,39,43,0.476,4,20-21,19-22,6-8,12-25,4,5,112.0,114.0,-1.0,22-29,5-12,7-9,10-8,17-14,6-4,3-7,8-3,8-7,5-5,8-8,3-4,,,,,,2-2,4-12,9-5
0,22023,1610612737,Atlanta,Hawks,East,Southeast,36,46,0.439,3,21-20,15-26,9-6,15-21,4,6,118.0,121.0,-2.0,22-30,8-11,6-11,8-8,14-16,4-6,4-6,6-4,7-8,6-6,8-7,2-6,,,,,,2-2,7-7,4-10
0,22023,1610612744,Golden State,Warriors,West,Pacific,46,36,0.561,5,21-20,25-16,4-11,24-12,6,6,118.0,115.0,3.0,20-10,7-3,5-5,8-2,26-26,9-10,7-9,10-7,5-7,11-3,9-7,6-2,,,,,,3-1,6-9,6-7
0,22023,1610612745,Houston,Rockets,West,Southwest,41,41,0.5,3,27-14,14-27,8-5,23-17,11,5,114.0,113.0,1.0,13-17,3-7,5-5,5-5,28-24,11-8,8-9,9-7,7-10,3-9,13-2,3-5,,,,,,0-3,8-5,7-7
